drift_mode,strategy,batch,model_version,accuracy,f1,precision,recall,drift_severity,drift_flags,concept_drift,retrained,train_duration,inference_time,policy_reason
covariate_feature_shift,Static,batch_6,v1,0.8002,0.7173974540311174,0.7402218330414477,0.6959385290889133,0.4338636506573986,2,False,False,0.0,0.05373358726501465,All conditions met. Triggering retrain.
covariate_feature_shift,Static,batch_7,v1,0.7242,0.7051528757750695,0.592100538599641,0.8715644820295984,0.5159184771561901,4,False,False,0.0,0.06813979148864746,All conditions met. Triggering retrain.
covariate_feature_shift,Static,batch_8,v1,0.7386,0.7143169398907104,0.6009562339095256,0.8803879310344828,0.5174958577085719,4,False,False,0.0,0.06564807891845703,All conditions met. Triggering retrain.
covariate_feature_shift,Static,batch_9,v1,0.7508,0.7119741100323624,0.6199677938808373,0.8360477741585234,0.4945211009949567,4,False,False,0.0,0.06860780715942383,All conditions met. Triggering retrain.
covariate_feature_shift,Static,batch_10,v1,0.7012,0.6723684210526316,0.5671476137624861,0.8255250403877221,0.5002114848116386,4,False,False,0.0,0.049386024475097656,All conditions met. Triggering retrain.
covariate_feature_shift,Static,batch_11,v1,0.7426,0.7134268537074149,0.6116838487972509,0.8557692307692307,0.5091799734000108,4,False,False,0.0,0.05076956748962402,All conditions met. Triggering retrain.
covariate_feature_shift,Static,batch_12,v1,0.7304,0.7101075268817204,0.6047619047619047,0.8598958333333333,0.5165344209729386,4,False,False,0.0,0.05481743812561035,All conditions met. Triggering retrain.
covariate_feature_shift,Policy-CurrentAnchor,batch_1,v1,0.8232,0.7504234895539243,0.7877889745109662,0.7164420485175202,0.0,0,False,False,0.0,0.06208682060241699,"Severity (0.0000) < 0.1 | Concept drift below thresholds (f1_drop=0.0000, recall_drop=0.0050) | Persistence (0) < 2"
covariate_feature_shift,Policy-CurrentAnchor,batch_2,v1,0.8132,0.7455040871934605,0.7331189710610932,0.7583148558758315,0.4482259194134601,2,False,False,0.0,0.05974459648132324,"Concept drift below thresholds (f1_drop=0.0000, recall_drop=0.0000) | Persistence (1) < 2"
covariate_feature_shift,Policy-CurrentAnchor,batch_3,v2,0.7546,0.6534877153346512,0.6715031921067904,0.6364136413641364,0.3778355646666239,2,True,True,3.9045140743255615,0.044931888580322266,All conditions met. Triggering retrain.
covariate_feature_shift,Policy-CurrentAnchor,batch_4,v2,0.809,0.7455369038102851,0.7244950802692905,0.7678375411635565,0.44963999857946235,2,False,False,0.0,0.052583932876586914,"Concept drift below thresholds (f1_drop=0.0000, recall_drop=0.0000) | Persistence (1) < 2 | Cooldown (0) < 1"
